# Suite, Benchname, Size, Reference,32/32,128/128,192/192,256/256,512/512,1024/1024
mrtc,ludcmp,8336,59268,153696,75736,78041,78443,86104,167673
mibench,fft_tiny,46256,10205207,21011754,12037940,11957648,12272993,14548784,23263542
mibench,ifft_tiny,46160,9898104,20260893,11760609,11696762,12046682,14201400,22413402
mrtc,qurt,8016,40065,72831,53446,51716,49824,62240,80347
mibench,basicmath_tiny,41696,38166966,68254102,43529065,42437940,45432966,51001223,75305448
mrtc,fft1,7056,78616,148258,119303,115825,111849,121088,150892
mrtc,lms,12944,9737989,15541384,12421986,12038758,12064570,12952656,15235752
mibench,rsynth_tiny,60624,58506148,103604622,68086047,64934808,63007119,75590466,91370096
mibench,csusan_small,33760,3354992,4762738,3968955,3815209,3708737,3833050,5219516
mrtc,minver,7424,17269,25520,20679,20364,19784,21332,24646
mibench,search_small,10384,673686,897663,854194,878230,864213,925115,960855
mibench,search_large,10480,16900265,22597761,21477391,22050771,21811204,23208759,23965499
mrtc,ud,4512,14176,14735,14100,13990,14059,14045,19953
mibench,qsort_small,19648,55937012,72185560,69800727,71346145,69790367,71950226,74481534
mibench,esusan_small,37760,6557356,8250360,7031929,6911264,6706063,7171095,8688704
mibench,ssusan_small,27680,34167002,38589005,35464922,35288030,35127936,35440098,41955873
mibench,patricia,17072,257824774,304140348,288133973,290451358,278839371,284280822,301575189
mibench,dijkstra_small,16016,80760884,98287424,87237969,87188929,86890084,86697057,87215164
coremark,coremark,33968,6063828,6971313,6725913,6587375,6556955,6645409,6374372
mibench,djpeg_small,49456,16223579,17850144,16982809,17543609,16888042,16844795,16870709
mibench,crc_32,12288,21737039,24844352,24497969,24834093,24834336,22776679,22432890
mibench,ebf,11120,83610988,90517766,89519234,90210170,88925801,87038409,85641386
mibench,dbf,11120,83010154,88893363,87938466,88684183,87425987,85543956,84062070
mibench,sha,13392,24034442,26343717,26336672,26330646,26008699,24096442,24153394
mrtc,adpcm,8384,2237731,2239634,2239630,2239594,2239650,2239739,2239684
mibench,bitcnts,12512,50949460,55991470,50958826,50961739,50959888,50964610,50971166
mibench,cjpeg_small,54352,58603241,62952191,62662914,61820656,61863035,60414573,58351254
mrtc,ndes,4528,34374,34599,34568,34577,34479,34219,34158
mibench,erijndael,17440,136057403,126600467,122079232,122858282,123378858,120865119,128434918
mrtc,nsichneu,20080,25885,37267,29809,30883,22396,27656,23792
mibench,drijndael,16960,130041179,119576101,115345156,116113760,115155933,112119006,118040111
